"Qubit","T1 (us)","T2 (us)","Frequency (GHz)","Anharmonicity (GHz)","Readout assignment error ","Prob meas0 prep1 ","Prob meas1 prep0 ","Readout length (ns)","ID error ","Z-axis rotation (rz) error ","√x (sx) error ","Pauli-X error ","ECR error ","Gate time (ns)","Operational"
"48","212.71132601177766","131.4581946958072","5.002107985284949","-0.30678424497861567","0.0351999999999999","0.015599999999999947","0.0548","1400","0.00023550709914549014","0","0.00023550709914549014","0.00023550709914549014","48_47:0.007503325601508765","48_47:660","true"
"49","141.94052440753273","56.22153779863318","5.129187077212779","-0.3055147846356721","0.0131","0.0144","0.011800000000000033","1400","0.0004048572474570012","0","0.0004048572474570012","0.0004048572474570012","49_55:0.010487677589524624;49_48:0.011407248317844287","49_55:660;49_48:660","true"
"50","150.16741920304344","85.01739125163304","5.208599993341038","-0.3039988036396967","0.007000000000000006","0.006399999999999961","0.0076","1400","0.0002823458872820941","0","0.0002823458872820941","0.0002823458872820941","50_51:0.008221630957042952;50_49:0.01287699726014091","50_51:660;50_49:660","true"
"51","251.80196539395138","43.028434133122104","5.000724851070608","-0.30651886924374455","0.03200000000000003","0.0174","0.046599999999999975","1400","0.00019576436978813646","0","0.00019576436978813646","0.00019576436978813646","51_36:0.007841830991957649","51_36:660","true"
"52","164.66261019509687","185.09809988489474","5.078158315587297","-0.3052743715047022","0.01090000000000002","0.010199999999999987","0.0116","1400","0.0006952358722224572","0","0.0006952358722224572","0.0006952358722224572","52_37:0.008758774088574117","52_37:660","true"
"53","217.7768716818816","173.41946438188737","4.791124848373855","-0.309503544676941","0.010299999999999976","0.0108","0.009800000000000031","1400","0.00018629833501294626","0","0.00018629833501294626","0.00018629833501294626","53_60:0.005458701060544913;53_41:0.007201998178607227","53_60:660;53_41:660","true"
"54","284.64208837281393","263.7690303184416","4.82974324185502","0","0.016599999999999948","0.0216","0.011600000000000055","1400","0.00013175799284110607","0","0.00013175799284110607","0.00013175799284110607","54_64:0.0058977998227731365;54_45:0.0046488149863125605","54_64:660;54_45:660","true"
"55","237.81297852529025","186.95433571690702","5.070997532692508","-0.30605310116096796","0.008700000000000041","0.0108","0.00660000000000005","1400","0.0003257330617005574","0","0.0003257330617005574","0.0003257330617005574","55_68:0.005563543926949938","55_68:660","true"
"56","186.9157802537773","44.43846558045045","4.855139501740756","-0.3089929809752174","0.010199999999999987","0.0128","0.007600000000000051","1400","0.0007124199963878299","0","0.0007124199963878299","0.0007124199963878299","56_52:0.017256043926360515","56_52:660","true"
"57","326.4800115590491","88.47327408889709","4.977785983111103","-0.3071042767500919","0.1311","0.10160000000000002","0.1606","1400","0.0012616661516538267","0","0.0012616661516538267","0.0012616661516538267","57_56:0.07096198520346786;57_58:0.025628179549740282","57_56:660;57_58:660","true"
