"Qubit","T1 (us)","T2 (us)","Frequency (GHz)","Anharmonicity (GHz)","Readout assignment error ","Prob meas0 prep1 ","Prob meas1 prep0 ","Readout length (ns)","ID error ","Z-axis rotation (rz) error ","√x (sx) error ","Pauli-X error ","ECR error ","Gate time (ns)","Operational"
"33","145.05916342293887","17.277684360974423","4.822692567802589","-0.30430713299383766","0.007299999999999973","0.010199999999999987","0.0044","1400","0.00029469042923340827","0","0.00029469042923340827","0.00029469042923340827","33_20:0.011075708062757095","33_20:660","true"
"34","423.4081060906453","20.11189169553378","4.804583600645209","-0.3082463291933374","0.08129999999999993","0.0666","0.09599999999999997","1400","0.0004908463211109016","0","0.0004908463211109016","0.0004908463211109016","","","true"
"35","393.4020654276062","421.257377914061","4.865278752411282","-0.30823309297517987","0.026599999999999957","0.022399999999999975","0.0308","1400","0.0009228422705891246","0","0.0009228422705891246","0.0009228422705891246","35_47:0.012266890690520393","35_47:660","true"
"36","472.4412525605392","207.54132823609308","4.730246556587805","0","0.01100000000000001","0.010600000000000054","0.0114","1400","0.00033065830012823683","0","0.00033065830012823683","0.00033065830012823683","36_32:0.011012722369059452","36_32:660","true"
"37","221.73553271764828","45.89410980975929","4.936339693485048","-0.3061260220579156","0.01319999999999999","0.013","0.013399999999999967","1400","0.00019875303872523997","0","0.00019875303872523997","0.00019875303872523997","37_52:0.005071256714599848;37_38:0.013229065980600585","37_52:660;37_38:660","true"
"38","191.45501584267205","64.98117696566017","4.812820806243933","-0.3090441982328432","0.07950000000000002","0.13780000000000003","0.0212","1400","0.0029215996580962468","0","0.0029215996580962468","0.0029215996580962468","","","true"
"39","280.6079228558439","172.9503286483058","4.699712740605178","-0.3088854355334065","0.035499999999999976","0.0222","0.048799999999999955","1400","0.0001134321823270748","0","0.0001134321823270748","0.0001134321823270748","39_33:0.006097698560520531;39_38:0.022053173064674636","39_33:660;39_38:660","true"
"40","203.47577691428265","11.662725620077806","4.892342172452633","-0.30769778101539386","0.10650000000000004","0.13560000000000005","0.0774","1400","0.000630754923954782","0","0.000630754923954782","0.000630754923954782","40_41:0.00987394140963091;40_39:0.007850674759265208","40_41:660;40_39:660","true"
"41","168.71387342878054","133.21433834581276","4.993947947184918","-0.30666988456443384","0.0351999999999999","0.0296","0.04079999999999995","1400","0.00021375532167183754","0","0.00021375532167183754","0.00021375532167183754","","","true"
"42","208.1045804736603","10.543865265434928","4.7892381419178145","-0.3092189965130921","0.0042999999999999705","0.005199999999999982","0.0034","1400","0.0003790589133865706","0","0.0003790589133865706","0.0003790589133865706","42_41:0.0052491068046451594;42_43:0.004250565291776143","42_41:660;42_43:660","true"
"43","403.81160760729375","111.26425471192083","4.930796397186148","-0.3075347075601374","0.01980000000000004","0.006000000000000005","0.0336","1400","0.00031991069299242247","0","0.00031991069299242247","0.00031991069299242247","43_34:0.009439250632104018;43_44:0.004605490357632719","43_34:660;43_44:660","true"
"44","405.7108569142811","27.27157039651967","4.826600041444878","-0.30878481550927667","0.008199999999999985","0.0094","0.007000000000000006","1400","0.0001723940627199042","0","0.0001723940627199042","0.0001723940627199042","","","true"
"45","277.57770008063795","380.3511293503792","4.924031522288474","-0.3071097576761717","0.02750000000000008","0.03","0.025000000000000022","1400","0.00027932843813056597","0","0.00027932843813056597","0.00027932843813056597","45_54:0.008545190118748158;45_46:0.0038300150596907723;45_44:0.005365741422194953","45_54:660;45_46:660;45_44:660","true"
"46","372.6093427951773","368.9726608916925","4.853326193008884","-0.30865419833002966","0.16500000000000004","0.17000000000000004","0.16","1400","0.0001629545478293667","0","0.0001629545478293667","0.0001629545478293667","46_47:0.0028143774542479794","46_47:660","true"
"47","569.8959462434466","42.06609778449892","4.797728631259458","-0.3090685843813135","0.006399999999999961","0.0068","0.006000000000000005","1400","0.00013418718706596227","0","0.00013418718706596227","0.00013418718706596227","","","true"
"48","406.00173513046116","309.9960850253284","4.8737497800272545","-0.30796966519372043","0.02200000000000002","0.021199999999999997","0.0228","1400","0.00035407567453191814","0","0.00035407567453191814","0.00035407567453191814","48_47:0.007524257660532274;48_49:0.012394384283477472","48_47:660;48_49:660","true"
"49","140.9166818624078","58.82690749046425","4.842912101896862","0","0.0121","0.01639999999999997","0.0078","1400","0.000271400605241103","0","0.000271400605241103","0.000271400605241103","49_50:0.008208741456412205","49_50:660","true"
"50","208.28392167650887","219.55086523709357","5.003768644849653","-0.30572919884522587","0.011299999999999977","0.016199999999999992","0.0064","1400","0.0003991336590620327","0","0.0003991336590620327","0.0003991336590620327","50_51:0.009488539611785196","50_51:660","true"
"51","251.21701135938306","47.98927810464269","4.932002415127721","-0.30616136401130345","0.02639999999999998","0.0238","0.029000000000000026","1400","0.00016913682485710025","0","0.00016913682485710025","0.00016913682485710025","51_36:0.006769479896892333","51_36:660","true"
"52","240.46440514054257","80.67769123639553","4.977913156804209","-0.30556697106388314","0.013700000000000045","0.015599999999999947","0.0118","1400","0.00016578585995609096","0","0.00016578585995609096","0.00016578585995609096","52_56:0.014694251871711","52_56:660","true"
"53","392.1343602831602","25.193768611086433","4.8488088348848","-0.3075268753502783","0.009700000000000042","0.012599999999999945","0.0068","1400","0.00034216008875318345","0","0.00034216008875318345","0.00034216008875318345","53_41:0.003596430789968519","53_41:660","true"
"54","360.3293159562661","138.53901784729055","4.878357723073059","-0.3069458254441859","0.03649999999999998","0.04079999999999995","0.0322","1400","0.0004095038956123768","0","0.0004095038956123768","0.0004095038956123768","","","true"
"55","209.90626468802114","108.08607615403015","4.9073051171969295","-0.3073215185005289","0.023800000000000043","0.03759999999999997","0.01","1400","0.00044865595086951264","0","0.00044865595086951264","0.00044865595086951264","55_49:0.006384752867741761","55_49:660","true"
"56","89.46142448252047","72.07377049200134","5.115807631056398","-0.3040137770050246","0.02089999999999992","0.025599999999999956","0.0162","1400","0.0003890049695527517","0","0.0003890049695527517","0.0003890049695527517","","","true"
"57","275.067775755475","165.45115362105565","4.969464836679773","-0.30548036357040764","0.008399999999999963","0.006000000000000005","0.0108","1400","0.000462295569997379","0","0.000462295569997379","0.000462295569997379","57_56:0.01349525052487574;57_58:0.007567374716295566","57_56:660;57_58:660","true"
